<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.ATVI,D,20190613,000000,46.0700000
US1.ATVI,D,20190614,000000,45.6300000
US1.ATVI,D,20190617,000000,45.0600000
US1.ATVI,D,20190618,000000,45.7800000
US1.ATVI,D,20190619,000000,45.3100000
US1.ATVI,D,20190620,000000,45.6800000
US1.ATVI,D,20190621,000000,45.9000000
US1.ATVI,D,20190624,000000,47.1700000
US1.ATVI,D,20190625,000000,46.1900000
US1.ATVI,D,20190626,000000,46.7300000
US1.ATVI,D,20190627,000000,47.2600000
US1.ATVI,D,20190628,000000,47.2100000
US1.ATVI,D,20190701,000000,47.5000000
US1.ATVI,D,20190702,000000,47.9800000
US1.ATVI,D,20190703,000000,48.6700000
US1.ATVI,D,20190705,000000,48.1500000
US1.ATVI,D,20190708,000000,46.4850000
US1.ATVI,D,20190709,000000,46.3800000
US1.ATVI,D,20190710,000000,46.8400000
US1.ATVI,D,20190711,000000,47.3400000
US1.ATVI,D,20190712,000000,47.1900000
US1.ATVI,D,20190715,000000,47.6500000
US1.ATVI,D,20190716,000000,46.9900000
US1.ATVI,D,20190717,000000,46.6700000
US1.ATVI,D,20190718,000000,45.7100000
US1.ATVI,D,20190719,000000,45.1400000
US1.ATVI,D,20190722,000000,45.5700000
US1.ATVI,D,20190723,000000,45.9300000
US1.ATVI,D,20190724,000000,46.8700000
US1.ATVI,D,20190725,000000,47.2000000
US1.ATVI,D,20190726,000000,47.9950000
US1.ATVI,D,20190729,000000,48.4700000
US1.ATVI,D,20190730,000000,48.2600000
US1.ATVI,D,20190731,000000,48.7450000
US1.ATVI,D,20190801,000000,50.1900000
US1.ATVI,D,20190802,000000,49.0200000
US1.ATVI,D,20190805,000000,46.1000000
US1.ATVI,D,20190806,000000,46.5700000
US1.ATVI,D,20190807,000000,48.0900000
US1.ATVI,D,20190808,000000,49.3250000
US1.ATVI,D,20190809,000000,48.0700000
US1.ATVI,D,20190812,000000,47.1000000
US1.ATVI,D,20190813,000000,48.1400000
US1.ATVI,D,20190814,000000,45.2650000
US1.ATVI,D,20190815,000000,45.5200000
US1.ATVI,D,20190816,000000,46.6450000
US1.ATVI,D,20190819,000000,47.9100000
US1.ATVI,D,20190820,000000,48.8150000
US1.ATVI,D,20190821,000000,49.0300000
US1.ATVI,D,20190822,000000,49.0700000
US1.ATVI,D,20190823,000000,47.3600000
US1.ATVI,D,20190826,000000,48.6700000
US1.ATVI,D,20190827,000000,51.0900000
US1.ATVI,D,20190828,000000,50.2000000
US1.ATVI,D,20190829,000000,50.9500000
US1.ATVI,D,20190830,000000,50.5800000
US1.ATVI,D,20190903,000000,51.0300000
US1.ATVI,D,20190904,000000,53.5000000
US1.ATVI,D,20190905,000000,54.5800000
US1.ATVI,D,20190906,000000,54.5900000
US1.ATVI,D,20190909,000000,55.1900000
US1.ATVI,D,20190910,000000,56.0400000
US1.ATVI,D,20190911,000000,54.8900000
US1.ATVI,D,20190912,000000,55.4500000
US1.ATVI,D,20190913,000000,55.9000000
US1.ATVI,D,20190916,000000,55.7900000
US1.ATVI,D,20190917,000000,55.3550000
US1.ATVI,D,20190918,000000,55.1200000
US1.ATVI,D,20190919,000000,55.0350000
US1.ATVI,D,20190920,000000,54.7500000
US1.ATVI,D,20190923,000000,54.1750000
US1.ATVI,D,20190924,000000,53.9200000
US1.ATVI,D,20190925,000000,54.9400000
US1.ATVI,D,20190926,000000,54.1700000
US1.ATVI,D,20190927,000000,52.3000000
US1.ATVI,D,20190930,000000,52.9200000
US1.ATVI,D,20191001,000000,52.9650000
US1.ATVI,D,20191002,000000,52.2600000
US1.ATVI,D,20191003,000000,54.0300000
US1.ATVI,D,20191004,000000,55.4900000
US1.ATVI,D,20191007,000000,55.4500000
US1.ATVI,D,20191008,000000,54.1100000
US1.ATVI,D,20191009,000000,53.3900000
US1.ATVI,D,20191010,000000,53.7100000
US1.ATVI,D,20191011,000000,54.8400000
US1.ATVI,D,20191014,000000,55.0600000
US1.ATVI,D,20191015,000000,55.5400000
US1.ATVI,D,20191016,000000,55.5900000
US1.ATVI,D,20191017,000000,55.5900000
US1.ATVI,D,20191018,000000,54.5600000
US1.ATVI,D,20191021,000000,55.5600000
US1.ATVI,D,20191022,000000,54.5100000
US1.ATVI,D,20191023,000000,54.8000000
US1.ATVI,D,20191024,000000,55.4600000
US1.ATVI,D,20191025,000000,55.3200000
US1.ATVI,D,20191028,000000,54.5500000
US1.ATVI,D,20191029,000000,54.0050000
US1.ATVI,D,20191030,000000,55.9400000
US1.ATVI,D,20191031,000000,56.0400000
US1.ATVI,D,20191101,000000,55.7800000
US1.ATVI,D,20191104,000000,55.6800000
US1.ATVI,D,20191105,000000,55.5500000
US1.ATVI,D,20191106,000000,56.3500000
US1.ATVI,D,20191107,000000,54.5100000
US1.ATVI,D,20191108,000000,54.2400000
